DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.1552947461605072)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.03494180366396904)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.034704547375440598)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.034080691635608673)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.027609894052147865)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.028409149497747421)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.032673053443431854)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.094741471111774445)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.17474956810474396)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.062117896974086761)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.013976722024381161)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.013881818391382694)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.013632277026772499)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.011043957434594631)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.011363659985363483)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.013069220818579197)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.037896588444709778)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.069899827241897583)" 
0, comb, down_fsr, 1, -2.5, 2.5, 20, 30, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-5.0031976570608094e-05)" 
0, comb, down_fsr, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18)))))))+0.00020710029639303684" 
0, comb, down_fsr, 1, -2.5, 2.5, 50, 70, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-7.6880212873220444e-05)" 
0, comb, down_fsr, 1, -2.5, 2.5, 70, 100, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.00047490926226601005)" 
0, comb, down_fsr, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18)))))))+0.00015578580496367067" 
0, comb, down_fsr, 1, -2.5, 2.5, 140, 200, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-2.616183519421611e-05)" 
0, comb, down_fsr, 1, -2.5, 2.5, 200, 300, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.00020705074712168425)" 
0, comb, down_fsr, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18)))))))+0.0012753175105899572" 
0, comb, down_fsr, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-2.1571961042354815e-05)" 
0, comb, down_fsr, 0, -2.5, 2.5, 20, 30, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-2.0012790628243238e-05)" 
0, comb, down_fsr, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18)))))))+8.2840117102023214e-05" 
0, comb, down_fsr, 0, -2.5, 2.5, 50, 70, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-3.0752085876883939e-05)" 
0, comb, down_fsr, 0, -2.5, 2.5, 70, 100, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-0.00018996369908563793)" 
0, comb, down_fsr, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.938269+(0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18)))))))+6.2314320530276746e-05" 
0, comb, down_fsr, 0, -2.5, 2.5, 140, 200, 0, 1, "0.938269+((0.00210762*(log(x+19)*(log(x+18)*(3-(0.428285*log(x+18))))))-1.0464734259585384e-05)" 
