DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.052963711321353912" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.013631878420710564" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.015573393553495407" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.012823882512748241" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.014745950698852539" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.017612872645258904" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.047046486288309097" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.10390561819076538" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.17653711140155792" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.021185483783483505" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0054527511820197105" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0062293573282659054" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0051295529119670391" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0058983801864087582" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0070451488718390465" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.018818594515323639" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.041562248021364212" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.070614844560623169" 
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0104365742752" 
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.00986091217135" 
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0432476784464" 
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0979714867727" 
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0113348089401" 
