DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.036870192736387253" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.018523497506976128" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.026087731122970581" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021970339119434357" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021595878526568413" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021700587123632431" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.036243773996829987" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.1063893660902977" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.12296096235513687" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.014748076908290386" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0074093989096581936" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.010435092262923717" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0087881358340382576" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0086383512243628502" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0086802346631884575" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.014497509226202965" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.04255574569106102" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.049184385687112808" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.036870192736387253" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.018523497506976128" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.026087731122970581" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.021970339119434357" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.021595878526568413" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.021700587123632431" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.036243773996829987" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)+0.1063893660902977" 
