DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.1871827244758606" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.094481177628040314" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.15621885657310486" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.11246135830879211" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.18178099393844604" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.23540389537811279" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.24919810891151428" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.19534887373447418" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.11649052798748016" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.074873089790344238" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.037792470306158066" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.062487542629241943" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.044984541833400726" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.072712399065494537" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.094161555171012878" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.099679246544837952" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.078139550983905792" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.046596210449934006" 
0, mujets, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.179324320041" 
0, mujets, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.11049813556" 
0, mujets, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.240881086041" 
0, mujets, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.187297074814" 
0, mujets, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.23243759257" 
0, mujets, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.15504564356" 
0, mujets, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.17971599827" 
0, mujets, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0899033824474" 
0, mujets, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.09223045183" 
0, mujets, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0717297294992" 
0, mujets, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0441992526949" 
0, mujets, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0963524374924" 
0, mujets, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0749188315577" 
0, mujets, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0929750340944" 
0, mujets, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0620182574403" 
0, mujets, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0718863994067" 
0, mujets, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0359613508087" 
0, mujets, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0368921800465" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0297845261679" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0209217387054" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0638435578034" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0555066503718" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0372526444648" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0191096719549" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.052340541726" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0740771552864" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0204996751491" 
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "1.02616+1.27563e-05*log(x+19)*log(x+18)*(3-29.4823*log(x+18))-0.0119138106341" 
