DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.11429701745510101)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.036130134016275406)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.035841848701238632)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.029483191668987274)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.027636198326945305)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.027582168579101562)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.030081495642662048)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.10704688727855682)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.22690519690513611)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.045718807727098465)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.014452054165303707)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.014336739666759968)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.01179327629506588)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.011054479517042637)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.01103286724537611)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.012032598257064819)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.042818754911422729)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.090762078762054443)" 
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0272156888075" 
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0284451665057" 
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-6.00007340192" 
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0944219187678" 
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-5.00006956454" 
0, comb, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0340944484051" 
0, comb, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-5.00087921903" 
