DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.054402276873588562" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.016518779098987579" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.017352618277072906" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.014180955477058887" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.015867047011852264" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.016279954463243484" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.051268976181745529" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.082348331809043884" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.882658+0.0042514*log(x+19)*log(x+18)*(3-0.411282*log(x+18))-0.16307482123374939" 
