DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))" 
1, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.11220353096723557" 
1, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.041545569896697998" 
1, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.047227784991264343" 
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.072599500417709351" 
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.10262303799390793" 
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.20540618896484375" 
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.2027406245470047" 
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.12013243138790131" 
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.33966302871704102" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.037401176989078522" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.013848522678017616" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.015742594376206398" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.0241998340934515" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.034207679331302643" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.068468727171421051" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.0675802081823349" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.040044143795967102" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.11322100460529327" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 20, 30, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.041593320667743683" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 30, 50, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.012546214275062084" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 50, 70, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0141492560505867" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 70, 100, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.020345456898212433" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 100, 140, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0071006240323185921" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 140, 200, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.00033605328644625843" 
1, mujets, down_bfragmentation, 1, -2.5, 2.5, 200, 300, 0, 1, "0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.013389419764280319" 
