DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.00525557995
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.21274729689
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.82463179423
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.03089737892
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.983068160584
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.00752425194
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.00265717506
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0243717432
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.975660383701
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.00525581837
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01469671726
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.00525581837
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.00666904449
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.0052036047
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.00525581837
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.00841686715
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.00209429275
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.10578113794
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.904730021954
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.01012858745
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.00038257244
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.01945674419
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.14914014683
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.90748827774
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.02739870548
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.00271742047
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.02488660812
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01368165016
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.02982401848
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00476765633
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01945388317
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02593302727
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.01945388317
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.0199842453
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.01943266392
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.01945388317
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.02083600087
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.01807748751
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.12140241861
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.917511069775
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.02376424583
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.01514924255
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.01415300369
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.12808043274
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.910162744738
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.02272368687
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.01123261452
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02191114426
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00577270985
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02344894409
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00639569759
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01415216923
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.02167701721
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.01415216923
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01375818253
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01418352127
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.01415216923
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.01500750244
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.01329850494
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.11556830406
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.912737703323
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.0209013704
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00740463699
1,lt,central,0,0,2.4,70.0,100.0,0,1,1.05554533005
