DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.959017574787
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.15609943113
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.789812707305
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.988593697548
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.937114846746
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.961747050285
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.956239581108
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.977166891098
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.928446352482
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.959017038345
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.967221260071
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.959017038345
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.959636271
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.958967149258
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.959017038345
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.963875965896
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.954159183678
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.05491933227
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.863115817308
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.965835881853
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.952199267722
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.998608589172
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.12945281842
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.885506479548
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.00694525242
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.980821576272
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00309932232
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.993867456913
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01185941696
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.979627072811
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.998606681824
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00723016262
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.998606681824
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.999606609344
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.998585879803
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.998606681824
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.00052623498
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.996690943362
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.09846944809
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.898747730255
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.00320584888
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.994011329467
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.958297073841
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.06767924878
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.859542926002
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.978405419643
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.958297073841
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.964383661747
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.952021956444
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.966253042221
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.950261116028
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.958294451237
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.964642107487
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.958294451237
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.959047973156
