DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95345300436019897" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97892099618911743" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9779210090637207" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98013800382614136" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97238802909851074" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97926002740859985" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96260201930999756" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94079798460006714" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.97887998819351196" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.96533900499343872" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.91317844390869141" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9464067816734314" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96016889810562134" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9574885368347168" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93808454275131226" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93012809753417969" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88243371248245239" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.83775085210800171" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.89279145002365112" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.78618502616882324" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95695501565933228" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9654809832572937" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98134201765060425" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98525398969650269" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97456598281860352" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.98043805360794067" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96348005533218384" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93637996912002563" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.97303497791290283" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.96533900499343872" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94911801815032959" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98199999332427979" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97865301370620728" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98014599084854126" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97188806533813477" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97656404972076416" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9506000280380249" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93582195043563843" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.98957496881484985" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.96533900499343872" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95377600193023682" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99085098505020142" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97667998075485229" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9778749942779541" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96764999628067017" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97121798992156982" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9537920355796814" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94079798460006714" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.97887998819351196" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.96533900499343872" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95391100645065308" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96695297956466675" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97872000932693481" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98210000991821289" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.97715997695922852" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.9893220067024231" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.97150397300720215" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96882200241088867" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0108000040054321" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.96533900499343872" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96321201324462891" 
