DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.04300940037
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.22996623021
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.883634182433
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.05594182014
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.02799856845
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.04561698437
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.04044640064
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.06084477901
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01648497581
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.04304695129
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.05257308483
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.04304695129
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.04476511478
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.04298710823
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.04304695129
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.044369859
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.04164894174
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.1473103404
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.938708460331
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04705658751
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.03896221322
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.02340173721
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.15146704647
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.911339028847
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.03099942207
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.00837829419
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.03079223633
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01545679569
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.03286349773
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00976133347
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02339744568
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02838230133
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.02339744568
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.02375304699
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.02337646484
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.02339744568
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.02390229687
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.02290117756
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.12574191093
