DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,1.00925421715
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.19465259152
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.856145721843
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.02911548188
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.994398203208
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.0116019249
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.0070002079
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.02804851532
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.980405151844
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.00925457478
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.02165830135
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.00925457478
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.01108217239
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.00919663906
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.00925457478
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.01154760386
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.00696083044
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.11017963886
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.908328795433
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.01663136644
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.00187706785
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.999200105667
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.12596584676
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.889927011035
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.00653421879
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.983887985865
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00554668903
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.992366015911
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01144337654
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.980141341686
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.999195575714
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00637042522
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.999195575714
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.00037288666
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.999175012112
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.999195575714
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.00009817181
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.998302039522
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.09912011623
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.8992800951
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.00703435575
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.991365855585
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.975925803185
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.08478004632
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.876254592651
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.987313473486
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.964829847052
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.984804153442
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.966166555882
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.985638439655
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.967000603676
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.975925862789
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.978521227837
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.975925862789
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.975794017315
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.975935459137
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.975925862789
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.976151103118
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.975700503251
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.0735183835
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.878333222866
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.983837727734
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.968013878635
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.975169360638
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.04354556047
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.920411350511
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.985335036757
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.973196208477
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.985380351543
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.963564991951
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.984733700752
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.965977668762
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.975169599056
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.973977088928
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.975169599056
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.974158644676
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.975041925907
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.975169599056
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.975186651017
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.975152070258
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.02392782867
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.926410892606
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.982527999912
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.967810721363
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.990410208702
2,lt,up,0,0,2.4,100.0,140.0,0,1,1.06038005983
2,lt,down,0,0,2.4,100.0,140.0,0,1,0.929233911672
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.994632606215
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.983866214752
2,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.00988066196
2,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.968704521656
2,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.01188695431
2,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.979497611523
2,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.990400135517
2,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.993143379688
2,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.990400135517
2,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.9902780056
2,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.990567684174
2,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.990400135517
2,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.990469556416
2,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.990350860988
2,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.03993071914
2,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.940889698267
2,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.00462209672
2,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.97619832068
2,lt,central,0,0,2.4,140.0,200.0,0,1,0.94793254137
2,lt,up,0,0,2.4,140.0,200.0,0,1,1.01206935742
2,lt,down,0,0,2.4,140.0,200.0,0,1,0.894275697724
2,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.953021834531
2,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.94793254137
2,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.956310093403
2,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.936584711075
2,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.966560781002
2,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.94631421566
2,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.947932004929
2,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.948047459126
2,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.947932004929
2,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.947529375553
2,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.947864592075
2,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.947932004929
2,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.947949369597
2,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.947915713144
2,lt,up_add,0,0,2.4,140.0,200.0,0,1,0.995329168439
2,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.900535914302
2,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.968442314227
2,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.927422768514
2,lt,central,0,0,2.4,200.0,300.0,0,1,0.990113735199
2,lt,up,0,0,2.4,200.0,300.0,0,1,1.03456890167
2,lt,down,0,0,2.4,200.0,300.0,0,1,0.956819763132
2,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.999196767807
2,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.983709468768
2,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.00086867809
2,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.974089443684
2,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.00406265259
2,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.995070040226
2,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.990114092827
2,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.993606209755
2,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,0.990114092827
2,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,0.990580260754
2,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,0.989821910858
2,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,0.990114092827
2,lt,up_cb,0,0,2.4,200.0,300.0,0,1,0.99025597854
2,lt,down_cb,0,0,2.4,200.0,300.0,0,1,0.989971491858
2,lt,up_add,0,0,2.4,200.0,300.0,0,1,1.00001487255
2,lt,down_add,0,0,2.4,200.0,300.0,0,1,0.980212597847
2,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.0167953546
2,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.963432115798
2,lt,central,0,0,2.4,300.0,670.0,0,1,1.0040718317
2,lt,up,0,0,2.4,300.0,670.0,0,1,1.04280278147
2,lt,down,0,0,2.4,300.0,670.0,0,1,0.970508299494
2,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.01191128586
2,lt,down_jes,0,0,2.4,300.0,670.0,0,1,1.00402617455
2,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.01161408424
2,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.990465283394
2,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.01134538651
2,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.01459133625
2,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.00407123566
2,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.00883233547
2,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.00407123566
2,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,1.00772869587
2,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.00319135189
2,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.00407123566
2,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.00421258155
2,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.00393108185
2,lt,up_add,0,0,2.4,300.0,670.0,0,1,1.01411255002
2,lt,down_add,0,0,2.4,300.0,670.0,0,1,0.994031113386
2,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.03257103493
2,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,0.975572628481
2,lt,central,0,0,2.4,670.0,1000.0,0,1,0.906136870384
2,lt,up,0,0,2.4,670.0,1000.0,0,1,0.967618740362
2,lt,down,0,0,2.4,670.0,1000.0,0,1,0.843098637829
2,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,0.940107350229
2,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.902641773224
2,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.930171370506
2,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.865363180637
2,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.899943172932
2,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.924541175365
2,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.904938876629
2,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.901487767696
2,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,0.904938876629
2,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,0.897697329521
2,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,0.905218064785
2,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,0.904938876629
2,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,0.90624731352
2,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,0.906026427249
2,lt,up_add,0,0,2.4,670.0,1000.0,0,1,0.915198239088
2,lt,down_add,0,0,2.4,670.0,1000.0,0,1,0.89707550168
2,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,0.944901842375
2,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.867371898394
