DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97947901487350464" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98432201147079468" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97246497869491577" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97681897878646851" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96391701698303223" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97114598751068115" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96008700132369995" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93509101867675781" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.92468100786209106" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95271003246307373" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96455961465835571" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95670664310455322" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95591133832931519" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93497800827026367" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92253249883651733" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91482841968536377" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84103888273239136" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.83763664960861206" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.78846800327301025" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.98705899715423584" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98608601093292236" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97602301836013794" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98171103000640869" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96651601791381836" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97270196676254272" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95942902565002441" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.9321020245552063" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.91845303773880005" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.98122704029083252" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98704999685287476" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97285497188568115" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97623395919799805" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96260005235671997" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97819298505783081" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96045297384262085" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.9279940128326416" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.93754500150680542" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97985303401947021" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98392301797866821" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97130501270294189" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9748460054397583" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96002298593521118" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96428698301315308" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95284402370452881" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93509101867675781" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.92468100786209106" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97969198226928711" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98474299907684326" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97290897369384766" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97815299034118652" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96785998344421387" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.97852301597595215" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.96346002817153931" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94638001918792725" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.94415801763534546" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "0.98597598075866699" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98224097490310669" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9667549729347229" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97571593523025513" 
0, ptrel, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96056598424911499" 
0, ptrel, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.96489602327346802" 
0, ptrel, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95703697204589844" 
0, ptrel, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93895405530929565" 
0, ptrel, down_jes, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.91327202320098877" 
0, ptrel, down_jes, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96223300695419312" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99082100391387939" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96486496925354004" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97389602661132812" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95953303575515747" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95850896835327148" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.95037001371383667" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88869601488113403" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.96317201852798462" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93373799324035645" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97499799728393555" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98471897840499878" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97563701868057251" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98479300737380981" 
