DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977816422136"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.963406223657"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992226620614"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977688172837"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977944671435"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977301940558"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978330903714"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974910152417"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980722691854"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.975656124676"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979976719596"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.975423796275"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980209047997"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974535510145"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981097334127"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977578913935"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978053930337"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977703875573"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977928968699"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972295202635"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983337641637"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977192818684"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978440025588"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977019580488"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978613263784"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97766555518"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977967289092"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977274435964"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.965690469521"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.988858402407"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977074055513"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977474816416"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.976422708378"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.978126163551"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977246364867"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977302507061"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.973394047169"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.981154824759"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97632935438"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.978219517548"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.976335472564"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.978213399364"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.975751121078"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97879775085"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977154727975"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977394143954"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977139915439"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977408956489"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.972489788035"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.982059083894"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977195451352"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.977353420577"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97725360958"
