DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10009060584"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.07141655884"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.12876465284"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09750849971"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10267271197"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09836550912"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10181570256"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09993589262"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10024531906"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.097988772"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10219243968"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09784476645"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10233644523"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09535332639"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10482788529"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09510785191"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10507335977"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1000497471"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10013146458"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09969596174"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10048524995"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09240692067"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10777429101"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09950783368"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.100673378"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0994723154"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10070889628"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10004188655"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10013932513"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11403776092"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.08661111052"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.14146441131"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11304882717"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11502669467"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11179184753"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1162836743"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10518272887"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.12289279296"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11130975201"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11676576983"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11314229088"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11493323095"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11289220205"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11518331978"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11402896427"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11404655757"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11383241939"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11424310245"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10282050337"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.12525501847"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1138835468"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11419197504"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1109618168"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11711370503"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11179953479"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11627598704"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10230003357"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.08008904098"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12451102616"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10126029227"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10333977486"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10066470884"
