DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10174886734"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0681870188"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13531071589"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0991665387"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10433119599"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10057168134"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10292605335"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10165361441"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10184412028"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09873753496"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10476019973"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09770714282"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10579059187"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09817375722"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10532397747"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09800739489"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1054903398"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10160418223"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10189355246"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10144988521"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10204784948"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09355634705"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10994138763"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.09974242902"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10375530567"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1013496702"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10214806449"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10159658939"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1019011453"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10288126439"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.07243694095"
