DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992961958757"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97074504013"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01517887739"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99013960791"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.995784309605"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.990998011228"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.994925906287"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992813745426"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.993110172089"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.990026750576"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.995897166938"
1,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992850331137"
1,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.993073586378"
1,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992625884138"
1,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.993298033377"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992375406978"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.993548510537"
1,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992854542075"
1,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99306937544"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986725971205"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99919794631"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.990243443808"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.995680473707"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963106902849"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.941677931519"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.984535874178"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.961222032886"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.964991772812"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.961193824306"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.965019981392"
1,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963072610523"
1,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963141195175"
1,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.959566251749"
1,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.966647553948"
1,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.962914158474"
1,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963299647224"
1,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.962963931388"
1,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963249874309"
1,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.962044593335"
1,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.964169212363"
1,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.962427098967"
1,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.963786706731"
1,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.957186791674"
1,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.969027014024"
1,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.960435720344"
1,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.965778085353"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04039458224"
