DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929964015883"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.908055251496"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95187278027"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.927901345327"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.932026686439"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929333667082"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930594364684"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929890122257"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930037909509"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9255138732"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.934414158566"
2,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929620898188"
2,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930307133578"
2,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929575200541"
2,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930352831225"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929193086497"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930734945269"
2,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92984852882"
2,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930079502946"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.924264842978"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.935663188788"
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.929104293476"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.930823738289"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987933454789"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.969055573357"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00681133622"
2,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.986332155501"
2,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.989534754077"
2,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987447390141"
2,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.988419519437"
2,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987889340365"
2,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987977569213"
2,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.981568452672"
2,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.994298456906"
2,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987513900393"
2,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.988353009185"
2,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987302683045"
2,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.988564226533"
2,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987262725638"
2,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98860418394"
2,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987875514506"
2,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.987991395072"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.980398796986"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995468112592"
2,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.986610274203"
2,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.989256635375"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981043227439"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.965906825087"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.996179629792"
2,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980395999228"
2,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98169045565"
2,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.978619552148"
2,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98346690273"
2,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980960410503"
2,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981126044376"
2,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.974916201421"
2,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.987170253458"
2,TnP,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980882288607"
2,TnP,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981204166272"
2,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980829268869"
2,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981257186009"
2,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.979521196694"
2,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.982565258184"
2,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981004316363"
2,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.981082138515"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.974287738862"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.987798716017"
2,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.979035766402"
2,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.983050688477"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02103895434"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00748860956"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.03458929912"
2,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02025675619"
2,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02182115249"
2,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02024943527"
2,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02182847341"
2,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02100836948"
2,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.02106953921"
