DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974482774895"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.959747628006"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.989217921783"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972363332198"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.976602217591"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97442757504"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974537974749"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974461959102"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974503590687"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969600869664"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979364680125"
1,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974328845991"
1,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974636703798"
1,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974356094645"
1,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974609455144"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.973398982372"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.975566567417"
1,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974428567716"
1,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974536982073"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967461721236"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981503828553"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974001548855"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974964000934"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00803600105"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.994380885241"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02169111685"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00675985091"
