DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02549693742"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.984921055664"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.06607281917"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01707869573"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0339151791"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02292682914"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02806704569"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02514823395"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02584564088"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.01113274832"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.03986112652"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02481478047"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02617909436"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02498363148"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02601024335"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02408933409"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02690454074"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02526646377"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02572741107"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.00453921545"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04645465938"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02136774292"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02962613192"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927298387963"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.881425975721"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.973170800206"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.921801450485"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.932795325441"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927070946932"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927525828994"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.902100823399"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.952495952527"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.923217422085"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.931379353842"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.926427542953"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.928169232973"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.898658971588"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955937804338"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.924364826342"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.930231949585"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07183473603"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.03724285318"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10642661887"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07141653474"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07225293731"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06958240297"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07408706908"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05161212375"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0920573483"
0,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07153267322"
0,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07213679884"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.06641673934"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07725273271"
0,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07157068931"
0,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07209878274"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04931661343"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09435285863"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07166545612"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07200401593"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.085535159"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06023638214"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.11083393586"
0,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08524953644"
0,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08582078156"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08286835625"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08820196175"
0,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08550535487"
0,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08556496313"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0765352118"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0945351062"
0,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08527611445"
0,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08579420356"
0,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08547059755"
0,TnP,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08559972045"
0,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08123637474"
0,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08983394326"
0,TnP,down_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08536884058"
0,TnP,up_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08570147742"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.07543065048"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.09563966752"
0,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08373823909"
0,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.08733207891"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14625487858"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.11592599121"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.17658376596"
0,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14608104957"
0,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1464287076"
0,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14556157048"
0,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14694818669"
0,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14620931094"
0,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14630044623"
0,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1369668903"
0,TnP,up_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.15554286687"
0,TnP,down_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14608478386"
0,TnP,up_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14642497331"
0,TnP,down_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14584757304"
0,TnP,up_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14666218413"
0,TnP,down_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1450825947"
0,TnP,up_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14742716247"
0,TnP,down_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14589321168"
0,TnP,up_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14661654549"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.13662514038"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.15588461679"
0,TnP,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14468440459"
0,TnP,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14782535258"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09284999817"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.02581608168"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.15988391467"
0,TnP,down_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0928039765"
0,TnP,up_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09289601985"
0,TnP,down_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09211393163"
0,TnP,up_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09358606472"
0,TnP,down_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09273454052"
0,TnP,up_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09296545583"
0,TnP,down_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.06203861867"
0,TnP,up_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.12366137768"
0,TnP,down_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09276467779"
0,TnP,up_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09293531856"
0,TnP,down_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09253968365"
0,TnP,up_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0931603127"
0,TnP,down_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09191201968"
0,TnP,up_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09378797667"
0,TnP,down_bfragmentation,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09164789381"
0,TnP,up_bfragmentation,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09405210254"
0,TnP,down_statistic,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.06196797155"
0,TnP,up_statistic,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.12373202479"
0,TnP,down_pileup,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09182073772"
0,TnP,up_pileup,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09387925862"
0,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30418038757"
0,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06150403114"
0,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.546856744"
0,TnP,down_jer,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.29774227068"
0,TnP,up_jer,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.31061850447"
0,TnP,down_jes,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30337614278"
0,TnP,up_jes,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30498463236"
0,TnP,down_bdecay,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30384524441"
0,TnP,up_bdecay,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30451553073"
0,TnP,down_bkg,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.29229047818"
0,TnP,up_bkg,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.31607029697"
0,TnP,down_isr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30361167473"
0,TnP,up_isr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30474910041"
0,TnP,down_fsr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30097825513"
0,TnP,up_fsr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30738252002"
0,TnP,down_mescales,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.28432679397"
0,TnP,up_mescales,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.32403398117"
0,TnP,down_bfragmentation,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30164023647"
0,TnP,up_bfragmentation,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30672053867"
0,TnP,down_statistic,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.27326437564"
0,TnP,up_statistic,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.3350963995"
0,TnP,down_pileup,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30050059204"
0,TnP,up_pileup,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30786018311"
