DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96898426612"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.948115481518"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.989853050721"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966495901044"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971472631195"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967731428193"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.970237104046"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.968880442205"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969088090034"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.964172797784"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.973795734455"
2,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.968722344468"
2,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969246187771"
2,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.968824638499"
2,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96914389374"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96791215734"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.970056374899"
2,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.968810503529"
2,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969158028711"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.963053661348"
