DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979803847413"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.965572459048"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.994035235779"
1,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977460328933"
1,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.982147365894"
1,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979565728912"
1,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980041965914"
1,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979765778585"
1,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979841916242"
1,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974933698776"
1,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98467399605"
1,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979664335272"
1,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979943359554"
1,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979716615611"
1,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979891079216"
1,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978734147183"
1,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980873547643"
1,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979744944323"
1,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979862750503"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972801688294"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986806006532"
1,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979117092798"
1,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980490602029"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00697811226"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.993604873932"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02035135059"
1,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00594594427"
1,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00801028025"
1,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00668471882"
1,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0072715057"
1,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999635866469"
1,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01432035805"
1,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00688969041"
1,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00706653411"
1,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00687179514"
