DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.920047223568
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.02586116303
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.835562244478
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.943925559521
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.885342793008
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.92523175478
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.914543509483
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.926735818386
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.911471009254
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.920030891895
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.927098095417
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.920030891895
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.919837415218
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.920037925243
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.920030891895
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.921813765435
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.918280681701
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.01227937414
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.827815072993
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.9377749012
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.902319545936
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.91797465086
2,lt,up,0,0,2.4,30.0,50.0,0,1,0.976758321099
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.877546632421
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.91797465086
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.89938244994
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.921442627907
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.914638221264
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.926107168198
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.912573516369
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.917974948883
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.908468365669
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.917974948883
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.914719223976
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.917963862419
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.917974948883
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.91873393481
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.917215366909
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.959099324717
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.876849977003
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.9261151178
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.90983418392
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.98077505827
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.0447139585
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.936458632663
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.01448002532
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.98077505827
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.98992484808
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.971943736076
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.989448189735
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.971212029457
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.980777800083
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.982070684433
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.980777800083
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.980982840061
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.980576694012
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.980777800083
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.981121845708
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.980428270831
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.01887343501
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.942676681532
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.988428274603
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.973121841936
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.959137022495
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.02255418082
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.905786364207
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.973291966246
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.952385723591
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.968664467335
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.950271606445
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.976762533188
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.939222335815
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.959136903286
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.963405251503
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.959136903286
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.958776593208
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.959236085415
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.959136903286
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.959308238064
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.958965806926
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.01139600234
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.906878042649
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.968764458646
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.949509586344
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.867507815361
2,lt,up,0,0,2.4,100.0,140.0,0,1,0.925541386573
2,lt,down,0,0,2.4,100.0,140.0,0,1,0.82590235432
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.886286093925
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.865690940631
