DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.953336"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976527"
0, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.990116"
0, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00176"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.882951"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.957339"
0, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.966675"
0, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.976447"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.958432"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979155"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994026"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.006"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.952828"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975049"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.992165"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00302"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.938559"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.975534"
0, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.993109"
0, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00484"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.908796"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.966845"
0, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.993303"
0, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.997706"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.951703"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.974619"
0, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986206"
0, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.997519"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.966628"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.963809"
0, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.984911"
0, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01366"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.903922"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983977"
0, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.968826"
0, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.981466"
0, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.954914"
0, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.973773"
0, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.991998"
0, system8, down_pileup,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.0024"
0, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.94323"
0, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.970537"
0, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986696"
0, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.996936"
0, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.02372"
0, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.995715"
0, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.01356"
0, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.02707"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.94824"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.973899"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986206"
0, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.997519"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.953844"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.978005"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988067"
0, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.0005"
0, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.968113"
0, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.97752"
0, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.987123"
0, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.998677"
0, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.997876"
0, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.986209"
0, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.986929"
0, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00581"
0, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.954969"
0, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.978435"
0, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994026"
0, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.006"
0, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.940044"
0, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.989245"
0, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.995321"
0, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.989856"
0, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00275"
0, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.969077"
0, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.01141"
0, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.02205"
0, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.951758"
0, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.979281"
0, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988234"
0, system8, up_pileup,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00112"
0, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.963442"
0, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.982517"
0, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.993536"
0, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00658"
1, system8, central,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.96814"
1, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.883324"
1, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.947478"
1, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.958814"
1, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.999985"
1, system8, down,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.839649"
1, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.778984"
1, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.921972"
1, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.916325"
1, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.958084"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.979105"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.896124"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.952815"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.965541"
1, system8, down_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01101"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.980985"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.881626"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.946237"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.959974"
1, system8, down_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.993743"
1, system8, down_jes,        0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.962738"
1, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.87434"
1, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.950502"
1, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.954962"
1, system8, down_jes,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00806"
1, system8, down_jetaway,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.947878"
1, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.796272"
1, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.929393"
1, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.944432"
1, system8, down_jetaway,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.99003"
1, system8, down_mudr,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.957175"
1, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.877598"
1, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.942941"
1, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.952518"
1, system8, down_mudr,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.98924"
1, system8, down_mupt,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "1.0916"
1, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.912958"
1, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.933118"
1, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.945559"
1, system8, down_mupt,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01076"
1, system8, down_ptrel,      0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.949536"
1, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.839437"
1, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.951547"
1, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.923011"
1, system8, down_ptrel,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.965996"
1, system8, down_pileup,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.970065"
1, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.879743"
1, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.943715"
1, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.955543"
1, system8, down_pileup,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00065"
1, system8, down_statistic,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.959581"
1, system8, down_statistic,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.86878"
1, system8, down_statistic,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.942301"
1, system8, down_statistic,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.953415"
1, system8, down_statistic,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.993384"
1, system8, up,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "1.09663"
1, system8, up,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.987664"
1, system8, up,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.972984"
1, system8, up,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "1.0013"
1, system8, up,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.04189"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.957175"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.870524"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.942141"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.952087"
1, system8, up_bfragmentation, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.98896"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.955295"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.885022"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.948719"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.957654"
1, system8, up_gluonsplitting, 0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00623"
1, system8, up_jes,          0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.973542"
1, system8, up_jes,          0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.892308"
1, system8, up_jes,          0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.944454"
1, system8, up_jes,          0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.962666"
1, system8, up_jes,          0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.991908"
1, system8, up_jetaway,      0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.988402"
1, system8, up_jetaway,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.970376"
1, system8, up_jetaway,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.965563"
1, system8, up_jetaway,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.973196"
1, system8, up_jetaway,      0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00994"
1, system8, up_mudr,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.979105"
1, system8, up_mudr,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.88905"
1, system8, up_mudr,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.952015"
1, system8, up_mudr,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.96511"
1, system8, up_mudr,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.01073"
1, system8, up_mupt,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.844683"
1, system8, up_mupt,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.85369"
1, system8, up_mupt,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.961838"
1, system8, up_mupt,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.972069"
1, system8, up_mupt,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.989209"
1, system8, up_ptrel,        0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.986744"
1, system8, up_ptrel,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.927211"
1, system8, up_ptrel,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.943409"
1, system8, up_ptrel,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.994617"
1, system8, up_ptrel,        0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.03397"
1, system8, up_pileup,           0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.966215"
1, system8, up_pileup,           0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.886905"
1, system8, up_pileup,           0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.951241"
1, system8, up_pileup,           0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.962085"
1, system8, up_pileup,           0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.999319"
1, system8, up_statistic,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.976699"
1, system8, up_statistic,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.897868"
1, system8, up_statistic,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.952655"
1, system8, up_statistic,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.964213"
1, system8, up_statistic,         0, -2.4, 2.4, 70.0, 100.0, 0, 1, "1.00659"
2, system8, central,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.950882"
2, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.827059"
2, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.899105"
2, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.922175"
2, system8, central,    0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.963251"
2, system8, down,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.874728"
2, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.561958"
2, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.869413"
2, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.885517"
2, system8, down,       0, -2.4, 2.4, 70.0, 100.0, 0, 1, "0.911617"
