OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x)))" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.046276040375232697" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.018976295366883278" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.02404368482530117" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.029188560321927071" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.035932216793298721" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.049807723611593246" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.08242710679769516" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.039900992065668106" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))-0.043080121278762817" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.046276040375232697" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.018976295366883278" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.02404368482530117" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.029188560321927071" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.035932216793298721" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.049807723611593246" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.08242710679769516" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.039900992065668106" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.00782*((1.+(0.0045752*x))/(1.+(0.00545147*x))))+0.043080121278762817" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.957852*((1.+(3.0106e-05*x))/(1.+(0.000263502*x)))" 
