DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94779002666473389" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97843402624130249" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0025099515914917" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97074198722839355" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93682897090911865" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92388302087783813" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89448702335357666" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.86716300249099731" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.85578101873397827" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.90931183099746704" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.95760542154312134" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97298908233642578" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93282109498977661" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.84510177373886108" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.839150071144104" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.73898696899414062" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.7044297456741333" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.74656355381011963" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.52125096321105957" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94582003355026245" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97935402393341064" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0045000314712524" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97280800342559814" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.88278096914291382" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92630201578140259" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89308398962020874" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.86238902807235718" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.84592705965042114" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95088404417037964" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.98001503944396973" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0124819278717041" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.99873197078704834" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.96611994504928589" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95087707042694092" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.90452903509140015" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84190797805786133" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.8384210467338562" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94871306419372559" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9784119725227356" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99013000726699829" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96978402137756348" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93512499332427979" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92076301574707031" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88833004236221313" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85810399055480957" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.84885001182556152" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94876307249069214" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97862899303436279" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0035799741744995" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97237402200698853" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93926399946212769" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93287402391433716" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9923279881477356" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.93704599142074585" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.87046897411346436" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96038997173309326" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.97759497165679932" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.99219900369644165" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.97130298614501953" 
0, ptrel, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93241292238235474" 
0, ptrel, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91667598485946655" 
0, ptrel, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88988000154495239" 
0, ptrel, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85840499401092529" 
0, ptrel, down_jes, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.85054802894592285" 
0, ptrel, down_jes, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96116602420806885" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9619300365447998" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0124849081039429" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94926899671554565" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90735596418380737" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 140, 200, 0, 1, "0.85923606157302856" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 200, 300, 0, 1, "0.85964906215667725" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 300, 600, 0, 1, "0.79025602340698242" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.91648405790328979" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94613701105117798" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9798319935798645" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0063899755477905" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98009902238845825" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95588600635528564" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 140, 200, 0, 1, "0.9661480188369751" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 200, 300, 0, 1, "0.94918501377105713" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 300, 600, 0, 1, "0.95841199159622192" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.91987401247024536" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.77528798580169678" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95046800374984741" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9709320068359375" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.98793298006057739" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96312999725341797" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.88042694330215454" 
