DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.775979"
0, system8, central,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0081"
0, system8, central,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.982493"
0, system8, central,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.991059"
0, system8, down,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.720121"
0, system8, down,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.959043"
0, system8, down,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.968799"
0, system8, down,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.970774"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.768809"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01225"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.985547"
0, system8, down_bfragmentation, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.99448"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.818807"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00842"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.983417"
0, system8, down_gluonsplitting, 0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.990487"
0, system8, down_jes,        0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.776845"
0, system8, down_jes,        0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.9938"
0, system8, down_jes,        0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981544"
0, system8, down_jes,        0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988659"
0, system8, down_jetaway,    0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.762573"
0, system8, down_jetaway,    0, -2.4, 2.4, 20.0, 30.0, 0, 1, "0.996184"
0, system8, down_jetaway,    0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.976165"
0, system8, down_jetaway,    0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.987665"
0, system8, down_mudr,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.768809"
0, system8, down_mudr,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.00494"
0, system8, down_mudr,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.981096"
0, system8, down_mudr,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.988514"
0, system8, down_mupt,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.745136"
0, system8, down_mupt,       0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.05107"
0, system8, down_mupt,       0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.973071"
0, system8, down_mupt,       0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.985114"
0, system8, down_ptrel,      0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.781538"
0, system8, down_ptrel,      0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.01817"
0, system8, down_ptrel,      0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.987854"
0, system8, down_ptrel,      0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.973575"
0, system8, down_pileup,         0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.774205"
0, system8, down_pileup,         0, -2.4, 2.4, 20.0, 30.0, 0, 1, "1.0097"
0, system8, down_pileup,         0, -2.4, 2.4, 30.0, 50.0, 0, 1, "0.980952"
0, system8, down_pileup,         0, -2.4, 2.4, 50.0, 70.0, 0, 1, "0.989702"
0, system8, down_statistic,       0, -2.4, 2.4, 100.0, 140.0, 0, 1, "0.771821"
