OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x)))" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.037649311125278473" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.019824706017971039" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.024732531979680061" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.023001458495855331" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.039614446461200714" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.041208270937204361" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.074662633240222931" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.046640109270811081" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))-0.046017982065677643" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.037649311125278473" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.019824706017971039" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.024732531979680061" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.023001458495855331" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.039614446461200714" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.041208270937204361" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.074662633240222931" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.046640109270811081" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.986661*((1.+(0.00159426*x))/(1.+(0.00183931*x))))+0.046017982065677643" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x)))" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.068300977349281311" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.033752039074897766" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.040510732680559158" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.026154814288020134" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.035409692674875259" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.048789128661155701" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.059125300496816635" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.048136144876480103" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))-0.042194023728370667" 
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.068300977349281311" 
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.033752039074897766" 
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.040510732680559158" 
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.026154814288020134" 
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.035409692674875259" 
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.048789128661155701" 
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.059125300496816635" 
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.048136144876480103" 
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.969636*((1.+(0.00279406*x))/(1.+(0.00339729*x))))+0.042194023728370667" 
2, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x)))" 
2, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.06888192892074585" 
2, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.026841504499316216" 
2, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.036958262324333191" 
2, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.040260419249534607" 
2, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.045267302542924881" 
2, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.059107929468154907" 
2, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.066307395696640015" 
2, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.055859971791505814" 
2, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))-0.041367869824171066" 
2, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.06888192892074585" 
2, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.026841504499316216" 
2, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.036958262324333191" 
2, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.040260419249534607" 
2, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.045267302542924881" 
2, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.059107929468154907" 
2, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.066307395696640015" 
2, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.055859971791505814" 
2, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.929558*((1.+(0.000923855*x))/(1.+(0.00137217*x))))+0.041367869824171066" 
