OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918" 
0, ptrel, central, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123" 
0, ptrel, central, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513" 
0, ptrel, central, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241" 
0, ptrel, central, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645" 
0, ptrel, down, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.088324278593063354" 
0, ptrel, down, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.033115297555923462" 
0, ptrel, down, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.052256710827350616" 
0, ptrel, down, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.062171239405870438" 
0, ptrel, down, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.054083678871393204" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.027549954131245613" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.024565905332565308" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.014499684795737267" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.012028343044221401" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.0025809020735323429" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.00042937527177855372" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.0006809398764744401" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.0099864332005381584" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.00068821944296360016" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.0019602095708250999" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.061645001173019409" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.01466300617903471" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.037891983985900879" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.025454971939325333" 
0, ptrel, down_jetaway, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.037913013249635696" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.018533948808908463" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.0023983896244317293" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.0031972844153642654" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.027046341449022293" 
0, ptrel, down_l2c, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.024727845564484596" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.035365045070648193" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.011933013796806335" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.027599040418863297" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.011184534057974815" 
0, ptrel, down_mudr, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.021149970591068268" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.038414984941482544" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.0046489997766911983" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.0083010047674179077" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.046555973589420319" 
0, ptrel, down_mupt, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.020428946241736412" 
0, ptrel, down_pileup, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.013114399276673794" 
0, ptrel, down_pileup, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.01038810983300209" 
0, ptrel, down_pileup, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.012006710283458233" 
0, ptrel, down_pileup, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.006935399491339922" 
0, ptrel, down_pileup, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.0010077343322336674" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918-0.023748099803924561" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123-0.010039100423455238" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513-0.0088104298338294029" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241-0.0082702301442623138" 
0, ptrel, down_statistic, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645-0.024694200605154037" 
0, ptrel, up, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.088324278593063354" 
0, ptrel, up, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.033115297555923462" 
0, ptrel, up, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.052256710827350616" 
0, ptrel, up, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.062171239405870438" 
0, ptrel, up, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.054083678871393204" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.027549954131245613" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.024565905332565308" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.014499684795737267" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.012028343044221401" 
0, ptrel, up_bfragmentation, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.0025809020735323429" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.00042937527177855372" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.0006809398764744401" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.0099864332005381584" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.00068821944296360016" 
0, ptrel, up_gluonsplitting, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.0019602095708250999" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.061645001173019409" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.01466300617903471" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.037891983985900879" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.025454971939325333" 
0, ptrel, up_jetaway, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.037913013249635696" 
0, ptrel, up_l2c, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.018533948808908463" 
0, ptrel, up_l2c, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.0023983896244317293" 
0, ptrel, up_l2c, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.0031972844153642654" 
0, ptrel, up_l2c, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.027046341449022293" 
0, ptrel, up_l2c, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.024727845564484596" 
0, ptrel, up_mudr, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.035365045070648193" 
0, ptrel, up_mudr, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.011933013796806335" 
0, ptrel, up_mudr, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.027599040418863297" 
0, ptrel, up_mudr, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.011184534057974815" 
0, ptrel, up_mudr, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.021149970591068268" 
0, ptrel, up_mupt, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.038414984941482544" 
0, ptrel, up_mupt, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.0046489997766911983" 
0, ptrel, up_mupt, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.0083010047674179077" 
0, ptrel, up_mupt, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.046555973589420319" 
0, ptrel, up_mupt, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.020428946241736412" 
0, ptrel, up_pileup, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.013114399276673794" 
0, ptrel, up_pileup, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.01038810983300209" 
0, ptrel, up_pileup, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.012006710283458233" 
0, ptrel, up_pileup, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.006935399491339922" 
0, ptrel, up_pileup, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.0010077343322336674" 
0, ptrel, up_statistic, 0, -2.4, 2.4, 19, 29, 0, 1, "1.0130000114440918+0.023748099803924561" 
0, ptrel, up_statistic, 0, -2.4, 2.4, 29, 49, 0, 1, "1.003119945526123+0.010039100423455238" 
0, ptrel, up_statistic, 0, -2.4, 2.4, 48, 78, 0, 1, "0.97583800554275513+0.0088104298338294029" 
0, ptrel, up_statistic, 0, -2.4, 2.4, 79, 119, 0, 1, "0.97912400960922241+0.0082702301442623138" 
0, ptrel, up_statistic, 0, -2.4, 2.4, 118, 158, 0, 1, "1.0284199714660645+0.024694200605154037" 
1, ptrel, central, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095" 
1, ptrel, central, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486" 
1, ptrel, central, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873" 
1, ptrel, central, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538" 
1, ptrel, central, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328" 
1, ptrel, down, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.12467141449451447" 
1, ptrel, down, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-0.05180777981877327" 
1, ptrel, down, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.064323432743549347" 
1, ptrel, down, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538-0.05538470670580864" 
1, ptrel, down, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328-0.10829018801450729" 
1, ptrel, down_bfragmentation, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.042667686939239502" 
1, ptrel, down_bfragmentation, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-0.03178323432803154" 
1, ptrel, down_bfragmentation, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.024335175752639771" 
1, ptrel, down_bfragmentation, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538-0.011014449410140514" 
1, ptrel, down_bfragmentation, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328-0.011033004149794579" 
1, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.00078967056469991803" 
1, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-2.0847774067078717e-05" 
1, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.00086517265299335122" 
1, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538-0.0010213346686214209" 
1, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328-0.0022154999896883965" 
1, ptrel, down_jetaway, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.10464652627706528" 
1, ptrel, down_jetaway, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-0.029447933658957481" 
1, ptrel, down_jetaway, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.049741022288799286" 
1, ptrel, down_jetaway, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538-0.0052429945208132267" 
1, ptrel, down_jetaway, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328-0.04727400466799736" 
1, ptrel, down_l2c, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.018470928072929382" 
1, ptrel, down_l2c, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-0.0016116456827148795" 
1, ptrel, down_l2c, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.0070502613671123981" 
1, ptrel, down_l2c, 0, -2.4, 2.4, 79, 119, 0, 1, "0.94313901662826538-0.035577937960624695" 
1, ptrel, down_l2c, 0, -2.4, 2.4, 118, 158, 0, 1, "0.95588397979736328-0.044535111635923386" 
1, ptrel, down_mudr, 0, -2.4, 2.4, 19, 29, 0, 1, "0.99517399072647095-0.006817986723035574" 
1, ptrel, down_mudr, 0, -2.4, 2.4, 29, 49, 0, 1, "0.94569599628448486-0.024116005748510361" 
1, ptrel, down_mudr, 0, -2.4, 2.4, 48, 78, 0, 1, "0.92924201488494873-0.031183967366814613" 
