OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, ip3d, central, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905" 
2, ip3d, central, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073" 
2, ip3d, central, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005" 
2, ip3d, down, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.065782420337200165" 
2, ip3d, down, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.057510916143655777" 
2, ip3d, down, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-0.088192373514175415" 
2, ip3d, down_bfragmentation, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.0085159735754132271" 
2, ip3d, down_bfragmentation, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.011055818758904934" 
2, ip3d, down_bfragmentation, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-0.017412982881069183" 
2, ip3d, down_gluonsplitting, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0" 
2, ip3d, down_gluonsplitting, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.00044310299563221633" 
2, ip3d, down_gluonsplitting, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-2.9661789540114114e-06" 
2, ip3d, down_ipbias, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.025943173095583916" 
2, ip3d, down_ipbias, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.028214039281010628" 
2, ip3d, down_ipbias, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-0.072870485484600067" 
2, ip3d, down_jetaway, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.031005484983325005" 
2, ip3d, down_jetaway, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.039046037942171097" 
2, ip3d, down_jetaway, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-0.039046011865139008" 
2, ip3d, down_mudr, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.0076682004146277905" 
2, ip3d, down_mudr, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.0054390081204473972" 
2, ip3d, down_mudr, 0, -2.4, 2.4, 320, 600, 0, 1, "0.97564297914505005-0.0054390043951570988" 
2, ip3d, down_mupt, 0, -2.4, 2.4, 122, 162, 0, 1, "0.88324397802352905-0.050072427839040756" 
2, ip3d, down_mupt, 0, -2.4, 2.4, 160, 320, 0, 1, "0.91992300748825073-0.02844199538230896" 
