DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.01687169075
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.10072276974
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.959745008756
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04188988698
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.00283586979
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.01906824112
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.01461207867
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.02355277538
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.00479459763
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01686871052
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03540885448
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.01686871052
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.02062094212
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.01672375202
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.01686871052
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.01716895706
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.01657442444
0,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.03598473573
0,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.997758645769
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.02874458563
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.00499879587
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.98236066103
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.01985466565
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.967951748259
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.98668598512
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.973210107525
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.986570596695
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.978069901466
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.987648785114
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.97788476944
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.982360422611
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.982728600502
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.982360422611
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.981888949871
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.98235231638
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.982360422611
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.982470794548
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.982250527512
0,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.987220020726
0,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.977501301334
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.988305271065
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.976416050994
0,lt,central,0,0,2.4,50.0,70.0,0,1,1.01453900337
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.06466874862
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.973073541411
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.02614981173
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.01270806789
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02255451679
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00622010231
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02495837212
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0063290596
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.014539361
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01823210716
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.014539361
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01310968399
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01437950134
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.014539361
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.01460414983
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.01447385691
0,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.04474775416
0,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.984330252587
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.02256095706
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00651704969
0,lt,central,0,0,2.4,70.0,100.0,0,1,0.980495989323
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.01832289442
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.953366469405
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.992245403606
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.980495989323
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.99142241478
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.968915641308
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.997809648514
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.964642107487
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.980496227741
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.977790236473
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.980496227741
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.978215694427
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.980501055717
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.980496227741
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.980546811079
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.980445167566
0,lt,up_add,0,0,2.4,70.0,100.0,0,1,0.992926655024
0,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.968065323621
0,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.989022920831
0,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.971969057814
0,lt,central,0,0,2.4,100.0,140.0,0,1,0.948299705982
0,lt,up,0,0,2.4,100.0,140.0,0,1,1.00938781591
0,lt,down,0,0,2.4,100.0,140.0,0,1,0.892346554552
0,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.953633298533
0,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.944418352384
0,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.960361897945
0,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.93651664257
0,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.972769677639
0,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.93411976099
0,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.948301434517
0,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.945679783821
0,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.948301434517
0,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.94581669569
0,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.948060452938
0,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.948301434517
0,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.948304096023
0,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.948295315941
0,lt,up_add,0,0,2.4,100.0,140.0,0,1,0.956857369086
0,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.939742042878
0,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,0.961358981692
0,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.935240430272
0,lt,central,0,0,2.4,140.0,200.0,0,1,0.870064973831
0,lt,up,0,0,2.4,140.0,200.0,0,1,0.950999925427
0,lt,down,0,0,2.4,140.0,200.0,0,1,0.805396192682
0,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.870827257633
0,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.865225403551
0,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.884963810444
0,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.85546118021
0,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.926879346371
0,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.839573562145
0,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.870066106319
0,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.868396818638
0,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.870066106319
0,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.867834806442
0,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.869960665703
0,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.870066106319
0,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.87007351483
0,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.870056432832
0,lt,up_add,0,0,2.4,140.0,200.0,0,1,0.874150704148
0,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.865979243514
0,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.887527560222
0,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.85260238744
0,lt,central,0,0,2.4,200.0,300.0,0,1,0.929640471935
0,lt,up,0,0,2.4,200.0,300.0,0,1,1.05056284994
0,lt,down,0,0,2.4,200.0,300.0,0,1,0.861395029451
0,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.940750295423
0,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.92408233881
0,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.928887724876
0,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.935056567192
0,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.04360663891
0,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.872702777386
0,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.929640471935
0,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.931001782417
