DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.996958017349
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.08909944612
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.941956760152
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.01691508293
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.984754926781
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.00096905231
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.992610156536
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.00262260437
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.984033703804
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.996959388256
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0158803463
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.996959388256
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.00111865997
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.996890425682
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.996959388256
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.997817275577
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.996098759122
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.01126282147
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.982653213224
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.00760182265
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.986314212046
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.974393904209
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.03122003587
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.938501046557
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.980118989944
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.962735147358
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.980605900288
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.967886149883
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.981570124626
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.968739569187
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.974394261837
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.979619801044
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.974394261837
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.9749366045
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.974330544472
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.974394261837
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.974665820496
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.974121987922
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.998257437729
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.950530370689
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.979234586293
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.969553222125
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.0300693512
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.11574937372
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.95351518333
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.04437539443
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.0300693512
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.04060578346
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.01934397221
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.04269683361
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0195697546
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.03006720543
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.03595817089
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.03006720543
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.02861189842
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.02991569042
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.03006720543
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.03023395399
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.0299047484
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.15022307327
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.909915629121
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.03665980912
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.02347889327
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.946480214596
1,lt,up,0,0,2.4,70.0,100.0,0,1,0.994612247975
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.908753724354
