DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.991751492023
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.09240586235
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.924173370681
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.01392459869
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.977322794531
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.997012734413
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.986113786697
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.995126247406
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.982783436775
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.991760075092
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.01866495609
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.991760075092
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.997511208057
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.991650700569
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.991760075092
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.992606262851
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.990896721196
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.01840862864
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.96509435541
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.00595865967
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.977544324377
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.950736522675
1,lt,up,0,0,2.4,30.0,50.0,0,1,0.99803019033
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.926093695266
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.955127835274
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.940173204527
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.957064390182
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.944163501263
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.957107186317
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.946300983429
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.950736045837
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.953055560589
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.950736045837
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.950702250004
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.950694799423
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.950736045837
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.951001837086
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.950471208263
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.963386744172
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.938086301178
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.95649395038
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.944979094969
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.99120849371
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.05329739337
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.941147863312
