DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.981353521347
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.05381722888
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.903706996649
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.984381198883
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.948471379818
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.981915295124
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.980851650238
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.981006801128
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.976391077042
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.981354355812
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.997146606445
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.981354355812
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.982819020748
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.981295824051
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.981354355812
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.02416349452
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.938543548175
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.02882945979
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.933877582902
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.00717022624
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.955536816457
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.9082467556
2,lt,up,0,0,2.4,30.0,50.0,0,1,0.935765214703
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.880656678488
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.909261643887
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.899710640697
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.913941502571
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.902194917202
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.907257676125
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.904269754887
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.908248126507
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.917061090469
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.908248126507
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.910661458969
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.908372700214
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.908248126507
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.91787631107
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.89861720013
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.935569415824
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.880924095376
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.920516312693
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.895977198507
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.85155570507
2,lt,up,0,0,2.4,50.0,70.0,0,1,0.893513477172
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.816754106462
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.875384399709
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.85155570507
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.861259579659
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.841521561146
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.856094002724
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.845797896385
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.85155582428
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.851888954639
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.85155582428
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.851221740246
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.85149294138
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.85155582428
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.853899000153
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.849212409988
2,lt,up_add,0,0,2.4,50.0,70.0,0,1,0.899749235239
2,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.803362174902
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.868237937219
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.834873472922
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.870573222637
2,lt,up,0,0,2.4,70.0,100.0,0,1,0.92405782116
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.817567580677
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.881889878537
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.866022288799
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.883791923523
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.856880307198
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.883426487446
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.856312334538
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.87060302496
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.873808324337
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.87060302496
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.870491445065
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.870541930199
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.87060302496
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.871722779762
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.869423665512
2,lt,up_add,0,0,2.4,70.0,100.0,0,1,0.890572111888
2,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.850574333386
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.880505352294
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.86064109298
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.851473093033
2,lt,up,0,0,2.4,100.0,140.0,0,1,0.911947180499
