DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.892111897469
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.0029519396
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.807982975441
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.892111897469
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.866465448389
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.890210449696
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.895129621029
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.895795047283
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.882361114025
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.892110645771
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.923521578312
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.892110645771
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.89906334877
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.892004787922
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.892110645771
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.894114737127
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.89010905781
2,lt,up_add,0,0,2.4,20.0,30.0,0,1,0.942889447628
2,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.841334347309
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.917999348757
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.86622444618
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.893497049809
2,lt,up,0,0,2.4,30.0,50.0,0,1,0.959099208452
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.842830384346
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.89625704392
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.88767143408
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.898449599743
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.888813197613
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.898680448532
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.886365294456
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.893496751785
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.894022464752
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.893496751785
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.894159495831
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.893457949162
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.893496751785
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.894157349177
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.89283675044
2,lt,up_add,0,0,2.4,30.0,50.0,0,1,0.937106890583
2,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.849887209034
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.901627948216
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.885366151401
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.896416306496
2,lt,up,0,0,2.4,50.0,70.0,0,1,0.948378523749
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.865264375287
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.925545045378
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.896416306496
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.904976308346
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.888184070587
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.903542399406
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.889793395996
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.896416723728
