CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92189401388168335" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.95872300863265991" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95551002025604248" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96208798885345459" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94412201642990112" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92817902565002441" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.93542301654815674" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.9483180046081543" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0040099620819092" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98674601316452026" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.87995171546936035" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93956577777862549" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.92319166660308838" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93662005662918091" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91226470470428467" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.86816537380218506" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.86381417512893677" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.83006346225738525" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.88298743963241577" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.36352002620697021" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92886805534362793" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9628869891166687" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9589800238609314" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96625995635986328" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94613605737686157" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92641901969909668" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.92951500415802002" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94448298215866089" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.99342989921569824" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98674601316452026" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.91171002388000488" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9524109959602356" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95157206058502197" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95765799283981323" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93856406211853027" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91479605436325073" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91870605945587158" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94066101312637329" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0212739706039429" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98674601316452026" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92172300815582275" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.95911800861358643" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95606601238250732" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96427702903747559" 
