CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97188"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93421"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0095"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95655"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98722"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96616"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95077"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96396"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96923"
0,TnPH,down_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98087"
0,TnPH,up_backg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9707"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97845"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96357"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96616"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95841"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97425"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98266"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98889"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95185"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9962"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97443"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94629"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91979"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97279"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93293"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95965"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94269"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93189"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93195"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94627"
0,TnPH,down_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94649"
0,TnPH,up_backg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95022"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9522"
0,TnPH,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94035"
0,TnPH,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94269"
0,TnPH,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93783"
0,TnPH,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9435"
0,TnPH,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94713"
0,TnPH,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96157"
0,TnPH,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93636"
0,TnPH,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95523"
0,TnPH,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94067"
0,TnPH,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9465"
0,TnPH,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9207"
0,TnPH,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97229"
0,TnPH,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93309"
0,TnPH,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9599"
0,TnPH,down_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94419"
0,TnPH,up_met,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93426"
0,TnPH,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.93974"
0,TnPH,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95685"
0,TnPH,down_backg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94618"
0,TnPH,up_backg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94996"
0,TnPH,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95244"
0,TnPH,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94415"
0,TnPH,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94419"
0,TnPH,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94003"
0,TnPH,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95035"
0,TnPH,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94823"
0,TnPH,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9614"
0,TnPH,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95994"
0,TnPH,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95661"
0,TnPH,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95287"
0,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96868"
0,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93595"
0,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0014"
0,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95077"
0,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98658"
0,TnPH,down_met,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96533"
0,TnPH,up_met,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95475"
0,TnPH,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95214"
0,TnPH,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97193"
0,TnPH,down_backg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96858"
0,TnPH,up_backg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9663"
0,TnPH,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9711"
0,TnPH,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96169"
0,TnPH,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96533"
0,TnPH,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96064"
0,TnPH,down_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97067"
0,TnPH,up_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96578"
0,TnPH,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98373"
0,TnPH,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98843"
0,TnPH,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95296"
0,TnPH,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.9688"
0,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0273"
0,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.97172"
0,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.083"
0,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.99432"
0,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0604"
0,TnPH,down_met,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0303"
0,TnPH,up_met,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0057"
0,TnPH,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0249"
0,TnPH,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0296"
0,TnPH,down_backg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0268"
0,TnPH,up_backg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.029"
0,TnPH,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0312"
0,TnPH,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0204"
0,TnPH,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0303"
0,TnPH,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0152"
0,TnPH,down_topmass,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0108"
