OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.900665*((1.+(0.207211*x))/(1.+(0.188137*x)))" 
0, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.900665*((1.+(0.207211*x))/(1.+(0.188137*x)))" 
0, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.025419095531105995" 
0, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.016102869063615799" 
0, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.012501707300543785" 
0, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.0095188664272427559" 
0, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.013005943037569523" 
0, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.022202858701348305" 
0, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.081482179462909698" 
0, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.012709547765552998" 
0, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.0080514345318078995" 
0, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.0062508536502718925" 
0, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.900665*((1.+(0.207211*x))/(1.+(0.188137*x))))-0.0047594332136213779" 
