CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))" 
0, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))" 
0, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.022652234882116318" 
0, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.012213293462991714" 
0, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0091996369883418083" 
0, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0091105792671442032" 
0, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0093871783465147018" 
0, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.021809060126543045" 
0, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.076026499271392822" 
0, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.011326117441058159" 
0, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0061066467314958572" 
0, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0045998184941709042" 
0, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0045552896335721016" 
0, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.0046935891732573509" 
0, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.010904530063271523" 
0, ttbar, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))-0.038013249635696411" 
0, ttbar, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.022652234882116318" 
0, ttbar, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.012213293462991714" 
0, ttbar, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0091996369883418083" 
0, ttbar, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0091105792671442032" 
0, ttbar, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0093871783465147018" 
0, ttbar, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.021809060126543045" 
0, ttbar, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.076026499271392822" 
0, ttbar, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.011326117441058159" 
0, ttbar, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0061066467314958572" 
0, ttbar, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0045998184941709042" 
0, ttbar, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0045552896335721016" 
0, ttbar, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.0046935891732573509" 
0, ttbar, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.010904530063271523" 
0, ttbar, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(x<50 ? 0.97782528400421143 : (x<70 ? 0.97637027502059937 : (x<100 ? 0.98677736520767212 : (x<140 ? 0.98731231689453125 : (x<200 ? 0.97947901487350464 : (x<300 ? 0.97375798225402832 : 0.98110252618789673))))))+0.038013249635696411" 
1, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))" 
1, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))" 
1, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.018491283059120178" 
1, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.01179820578545332" 
1, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0088844075798988342" 
1, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.010384237393736839" 
1, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.014110107906162739" 
1, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.030729755759239197" 
1, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.10475492477416992" 
1, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0092456415295600891" 
1, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0058991028927266598" 
1, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0044422037899494171" 
1, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0051921186968684196" 
1, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.0070550539530813694" 
1, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(x<50 ? 0.95323508977890015 : (x<70 ? 0.97091162204742432 : (x<100 ? 0.98379582166671753 : (x<140 ? 0.9787752628326416 : (x<200 ? 0.96274590492248535 : (x<300 ? 0.96556156873703003 : 0.93896812200546265))))))-0.015364877879619598" 
