OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(0.000164621*x)+1.00181" 
0, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(0.000164621*x)+(1.00181-0.035461820662021637)" 
0, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(0.000164621*x)+(1.00181-0.029271623119711876)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.000164621*x)+(1.00181-0.032141882926225662)" 
0, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(0.000164621*x)+(1.00181-0.045430589467287064)" 
0, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((0.000164621*x)+1.00181)+0.035461820662021637" 
0, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((0.000164621*x)+1.00181)+0.029271623119711876" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((0.000164621*x)+1.00181)+0.032141882926225662" 
0, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((0.000164621*x)+1.00181)+0.045430589467287064" 
1, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(0.000499581*x)+0.894507" 
1, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(0.000499581*x)+(0.894507-0.042522531002759933)" 
1, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(0.000499581*x)+(0.894507-0.057277977466583252)" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.000499581*x)+(0.894507-0.05145268514752388)" 
1, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(0.000499581*x)+(0.894507-0.056261636316776276)" 
1, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((0.000499581*x)+0.894507)+0.042522531002759933" 
1, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((0.000499581*x)+0.894507)+0.057277977466583252" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((0.000499581*x)+0.894507)+0.05145268514752388" 
1, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((0.000499581*x)+0.894507)+0.056261636316776276" 
2, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.000925362*x))+0.960047" 
2, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.000925362*x))+(0.960047-0.052132789045572281)" 
2, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.000925362*x))+(0.960047-0.061812285333871841)" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.000925362*x))+(0.960047-0.067423522472381592)" 
2, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.000925362*x))+(0.960047-0.078299924731254578)" 
2, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.000925362*x))+0.960047)+0.052132789045572281" 
2, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.000925362*x))+0.960047)+0.061812285333871841" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.000925362*x))+0.960047)+0.067423522472381592" 
2, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.000925362*x))+0.960047)+0.078299924731254578" 
