kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.996277809143"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.990139305592"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.996896982193"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.993977785110"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.979866266251"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.972497820854"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "1.019825220110"
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.974504000000"
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.975053000000"
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.988080000000"
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.983231000000"
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.972146000000"
0, kin, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.951311000000"
0, kin, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.968834000000"
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.992600605125" 
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.986750304699" 
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.993807838298" 
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.990472611273" 
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.975075591356" 
0, kin, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.963565447368" 
0, kin, down_statistic, 0, -2.4, 2.4, 300, 600, 0, 1, "0.990632340312"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.994285253525"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.990079897234"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.996877044253"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.993480796217"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.979670292998"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.972303321290"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "1.019315307500"
0, kin, down_hdamp, 0, -2.4, 2.4, 30, 50, 0, 1, "0.993288975716"
0, kin, down_hdamp, 0, -2.4, 2.4, 50, 70, 0, 1, "0.988159026981"
0, kin, down_hdamp, 0, -2.4, 2.4, 70, 100, 0, 1, "0.994903188229"
0, kin, down_hdamp, 0, -2.4, 2.4, 100, 140, 0, 1, "0.991989829540"
0, kin, down_hdamp, 0, -2.4, 2.4, 140, 200, 0, 1, "0.978886399985"
0, kin, down_hdamp, 0, -2.4, 2.4, 200, 300, 0, 1, "0.969580327391"
0, kin, down_hdamp, 0, -2.4, 2.4, 300, 600, 0, 1, "1.017785569670"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.994285253525"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.988159026981"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.994903188229"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.991989829540"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.978886399985"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.969580327391"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "1.015745919230"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.995281531334"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.989149166286"
