DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x)))" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x)))" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.050309404730796814" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.02892395481467247" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.028805704787373543" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.027741741389036179" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.026482829824090004" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.027279917150735855" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.032376617193222046" 
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.045691363513469696" 
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.068235903978347778" 
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.020123761147260666" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.011569581925868988" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.011522281914949417" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.011096696369349957" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.010593132115900517" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.010911966674029827" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.012950647622346878" 
0, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.018276546150445938" 
0, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))-0.027294361963868141" 
0, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.050309404730796814" 
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.02892395481467247" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.028805704787373543" 
0, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.027741741389036179" 
0, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.026482829824090004" 
0, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.027279917150735855" 
0, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.032376617193222046" 
0, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.045691363513469696" 
0, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.068235903978347778" 
0, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.020123761147260666" 
0, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.011569581925868988" 
0, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.011522281914949417" 
0, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.011096696369349957" 
0, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.010593132115900517" 
0, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.010911966674029827" 
0, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.012950647622346878" 
0, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.018276546150445938" 
0, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.954392*((1.+(0.00724505*x))/(1.+(0.00666699*x))))+0.027294361963868141" 
1, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.703522*((1.+(0.214774*x))/(1.+(0.152657*x)))" 
1, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.703522*((1.+(0.214774*x))/(1.+(0.152657*x)))" 
1, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.060482017695903778" 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.039551772177219391" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.037013556808233261" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.035452175885438919" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.03417142853140831" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.034100182354450226" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.045189537107944489" 
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.070176586508750916" 
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.089659109711647034" 
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.020160673186182976" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.013183923438191414" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.012337852269411087" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.011817391961812973" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.011390476487576962" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.011366726830601692" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.015063179656863213" 
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.023392194882035255" 
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))-0.029886370524764061" 
1, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.703522*((1.+(0.214774*x))/(1.+(0.152657*x))))+0.060482017695903778" 
