DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.966008
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.932157
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.999859
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.959065
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.972951
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.978096
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.95392
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.96118
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.970836
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.96579
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.966226
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.961116
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.9709
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.966471
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.965545
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.995226
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.93679
0, system8, up_pileup,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.959885
0, system8, down_pileup,     0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.972131
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.962421
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.969595
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.976449
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.962037
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.990861
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972517
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.980381
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.978873
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.974025
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.987213
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965685
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.975253
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.977645
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972469
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.980429
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.977051
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.975847
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.983305
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.969593
0, system8, up_pileup,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.978422
0, system8, down_pileup,     0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.974476
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.977858
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.97504
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.988337
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969146
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.00753
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98348
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.993194
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.982384
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.99429
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.984649
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.992025
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987083
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.989591
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.983251
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.993423
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.989578
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987096
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.972014
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.00466
0, system8, up_pileup,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.988696
0, system8, down_pileup,     0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987978
0, system8, up_jes,          0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.988696
0, system8, down_jes,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.987978
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.998404
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.976948
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.01986
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.993233
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.00357
