DEEPCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9501"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90866"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99153"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93709"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9631"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94774"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93248"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95094"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94488"
0,TnPH,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95816"
0,TnPH,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95005"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95604"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94426"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94774"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93812"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96156"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95314"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98887"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92373"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95812"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95812"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93291"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91419"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95164"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92119"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94464"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93026"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92032"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9251"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93161"
0,TnPH,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93424"
0,TnPH,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93678"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93451"
