OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x)))" 
0, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.036454584449529648" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.013756722211837769" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.018614577129483223" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.016171406954526901" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.016862973570823669" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.013623243197798729" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.033658389002084732" 
0, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.034804828464984894" 
0, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0517084039747715" 
0, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.018227292224764824" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0068783611059188843" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0093072885647416115" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0080857034772634506" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0084314867854118347" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.0068116215988993645" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.016829194501042366" 
0, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.017402414232492447" 
0, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))-0.02585420198738575" 
0, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.036454584449529648" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.013756722211837769" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.018614577129483223" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.016171406954526901" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.016862973570823669" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.013623243197798729" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.033658389002084732" 
0, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.034804828464984894" 
0, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0517084039747715" 
0, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.018227292224764824" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0068783611059188843" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0093072885647416115" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0080857034772634506" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0084314867854118347" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.0068116215988993645" 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.016829194501042366" 
0, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.017402414232492447" 
0, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.94135*((1.+(0.0115641*x))/(1.+(0.0105056*x))))+0.02585420198738575" 
1, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.847515*((1.+(0.0600903*x))/(1.+(0.0510573*x)))" 
1, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.847515*((1.+(0.0600903*x))/(1.+(0.0510573*x)))" 
