DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x)))" 
0, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x)))" 
0, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.029349733144044876" 
0, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.019048187881708145" 
0, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.015511495061218739" 
0, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.010347961448132992" 
0, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.013583756983280182" 
0, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.023505989462137222" 
0, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.090836986899375916" 
0, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.011739892885088921" 
0, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.0076192752458155155" 
0, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.0062045981176197529" 
0, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.0041391844861209393" 
0, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.0054335026070475578" 
0, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.0094023961573839188" 
0, ttbar, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))-0.036334794014692307" 
0, ttbar, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.029349733144044876" 
0, ttbar, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.019048187881708145" 
0, ttbar, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.015511495061218739" 
0, ttbar, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.010347961448132992" 
0, ttbar, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.013583756983280182" 
0, ttbar, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.023505989462137222" 
0, ttbar, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.090836986899375916" 
0, ttbar, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.011739892885088921" 
0, ttbar, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.0076192752458155155" 
0, ttbar, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.0062045981176197529" 
0, ttbar, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.0041391844861209393" 
0, ttbar, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.0054335026070475578" 
0, ttbar, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.0094023961573839188" 
0, ttbar, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.975911*((1.+(0.00116359*x))/(1.+(0.00102383*x))))+0.036334794014692307" 
1, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.675468*((1.+(0.300679*x))/(1.+(0.205612*x)))" 
1, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.675468*((1.+(0.300679*x))/(1.+(0.205612*x)))" 
1, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.037070687860250473" 
1, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.027144197374582291" 
1, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.028484813868999481" 
1, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.020327886566519737" 
1, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.020185329020023346" 
1, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.675468*((1.+(0.300679*x))/(1.+(0.205612*x))))-0.040864020586013794" 
