MVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95709"
0,TnP,down,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92271"
0,TnP,up,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.99147"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94654"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96764"
0,TnP,down_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94415"
0,TnP,up_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.97002"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95036"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96381"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9515"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96267"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94907"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9651"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94748"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96669"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95173"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96244"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94379"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.97038"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9369"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.97727"
0,TnP,central,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94996"
0,TnP,down,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92747"
0,TnP,up,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97245"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94053"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95939"
0,TnP,down_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9405"
0,TnP,up_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95942"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94127"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95865"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94745"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95247"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94564"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95428"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94335"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95657"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94585"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95406"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93981"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96011"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93977"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96014"
0,TnP,central,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96039"
0,TnP,down,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94722"
0,TnP,up,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97357"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95304"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96774"
0,TnP,down_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95639"
0,TnP,up_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96439"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95796"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96282"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95904"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96174"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95811"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96268"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95746"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96332"
0,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95881"
0,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96197"
0,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95236"
0,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96843"
0,TnP,down_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95584"
0,TnP,up_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96495"
0,TnP,central,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98129"
0,TnP,down,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.97169"
0,TnP,up,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99089"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.97495"
