MVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPL,central,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89918"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.8317"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96665"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.87728"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92108"
0,TnPL,down_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89203"
0,TnPL,up_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.86578"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94148"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.85467"
0,TnPL,down_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9226"
0,TnPL,up_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.88943"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.91072"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89362"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89203"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.8831"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92123"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89018"
0,TnPL,down_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.89441"
0,TnPL,up_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.90731"
0,TnPL,down_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.93563"
0,TnPL,up_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9096"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97299"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93989"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"1.0061"
0,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95648"
0,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.98949"
0,TnPL,down_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97172"
0,TnPL,up_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95829"
0,TnPL,down_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.98252"
0,TnPL,up_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95929"
0,TnPL,down_backg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97604"
0,TnPL,up_backg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96967"
0,TnPL,down_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97824"
0,TnPL,up_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96613"
0,TnPL,down_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97172"
0,TnPL,up_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96513"
0,TnPL,down_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9829"
0,TnPL,up_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96429"
0,TnPL,down_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.99086"
0,TnPL,up_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.97524"
0,TnPL,down_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.98971"
0,TnPL,up_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95839"
0,TnPL,central,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97192"
0,TnPL,down,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95089"
0,TnPL,up,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.99294"
0,TnPL,down_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96221"
0,TnPL,up_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.98162"
0,TnPL,down_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97189"
0,TnPL,up_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96874"
0,TnPL,down_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97899"
0,TnPL,up_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97053"
0,TnPL,down_backg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97456"
0,TnPL,up_backg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97323"
0,TnPL,down_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.9729"
0,TnPL,up_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97287"
0,TnPL,down_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97189"
0,TnPL,up_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.9701"
0,TnPL,down_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96685"
0,TnPL,up_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96687"
0,TnPL,down_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.97397"
0,TnPL,up_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.9928"
0,TnPL,down_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96526"
0,TnPL,up_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.98109"
0,TnPL,central,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.9873"
0,TnPL,down,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.97785"
0,TnPL,up,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99676"
0,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98019"
0,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99442"
0,TnPL,down_met,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98612"
0,TnPL,up_met,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98854"
0,TnPL,down_jes,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98822"
0,TnPL,up_jes,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99047"
0,TnPL,down_backg,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98873"
0,TnPL,up_backg,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98892"
0,TnPL,down_jer,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98669"
0,TnPL,up_jer,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98837"
0,TnPL,down_pileup,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98612"
0,TnPL,up_pileup,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.987"
0,TnPL,down_topmass,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99048"
0,TnPL,up_topmass,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98549"
0,TnPL,down_fsr,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98388"
0,TnPL,up_fsr,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98811"
0,TnPL,down_isr,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99237"
0,TnPL,up_isr,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.98946"
0,TnPL,central,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98137"
0,TnPL,down,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.96929"
0,TnPL,up,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.99345"
0,TnPL,down_statistic,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.97407"
0,TnPL,up_statistic,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98867"
0,TnPL,down_met,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98132"
0,TnPL,up_met,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98181"
0,TnPL,down_jes,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98043"
0,TnPL,up_jes,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.97986"
0,TnPL,down_backg,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.9806"
0,TnPL,up_backg,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.9855"
0,TnPL,down_jer,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98047"
0,TnPL,up_jer,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98207"
0,TnPL,down_pileup,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98132"
0,TnPL,up_pileup,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98187"
0,TnPL,down_topmass,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.9761"
0,TnPL,up_topmass,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98594"
0,TnPL,down_fsr,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.97994"
0,TnPL,up_fsr,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.98869"
0,TnPL,down_isr,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.97497"
0,TnPL,up_isr,0,-2.4,2.4,140.0,200.0,-1.0,1.0,"0.97719"
0,TnPL,central,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0027"
0,TnPL,down,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"0.98282"
0,TnPL,up,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0226"
0,TnPL,down_statistic,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"0.99026"
0,TnPL,up_statistic,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0152"
0,TnPL,down_met,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0038"
0,TnPL,up_met,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0036"
0,TnPL,down_jes,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0085"
0,TnPL,up_jes,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0039"
0,TnPL,down_backg,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0042"
0,TnPL,up_backg,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0102"
0,TnPL,down_jer,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0019"
0,TnPL,up_jer,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0062"
0,TnPL,down_pileup,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0038"
0,TnPL,up_pileup,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0036"
0,TnPL,down_topmass,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0013"
0,TnPL,up_topmass,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0069"
0,TnPL,down_fsr,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"1.0117"
0,TnPL,up_fsr,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"0.98857"
0,TnPL,down_isr,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"0.99687"
0,TnPL,up_isr,0,-2.4,2.4,200.0,300.0,-1.0,1.0,"0.99649"
1,TnPL,central,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.87931"
1,TnPL,down,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.80548"
1,TnPL,up,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95314"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.8537"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.90492"
1,TnPL,down_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.87803"
1,TnPL,up_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.85535"
1,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92327"
1,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.82724"
1,TnPL,down_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.90709"
1,TnPL,up_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.86585"
1,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.88961"
1,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.87162"
1,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.87803"
1,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.85632"
