;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.036122" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.011621" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.007580" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.015295" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.013302" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.000294" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.000000" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.016526" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.000535" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.036122" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.011621" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.007580" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.015295" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.020687" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.000294" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.000000" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.016526" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.000535" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.055769" 
1, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.019974" 
1, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.017491" 
1, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.014936" 
1, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.022537" 
1, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.005566" 
1, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.000000" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.036455" 
1, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.000506" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.055769" 
1, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.019974" 
1, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.017491" 
1, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.014936" 
1, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.017724" 
1, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.005566" 
1, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.000000" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.036455" 
1, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.000506" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.315041" 
2, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.023754" 
2, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.061710" 
2, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.017975" 
2, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.270679" 
2, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.010923" 
2, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.000000" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.248421" 
2, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.006097" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.315041" 
2, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.023754" 
2, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.061710" 
2, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.017975" 
2, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.011072" 
2, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.010923" 
2, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.000000" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.248421" 
2, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.006097" 
