;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.044091" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.072043" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.058800" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.062060" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.026181" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.027748" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.037676" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.055854" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.000000" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.003792" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.039145" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.010594" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.000000" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.002938" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.030321" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.008206" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365+0.044091" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315+0.072043" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994+0.058800" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633+0.062060" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365+0.026181" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315+0.027748" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994+0.037676" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633+0.055854" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365+0.000000" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315+0.003792" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994+0.039145" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633+0.010594" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365+0.000000" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315+0.002938" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994+0.030321" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633+0.008206" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310-0.079751" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327-0.097425" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379-0.110781" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399-0.137891" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310-0.059724" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327-0.058517" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379-0.081437" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399-0.127398" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310-0.000000" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327-0.000292" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379-0.045738" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399-0.046861" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310-0.000000" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327-0.000226" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379-0.035428" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399-0.036298" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310+0.079751" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327+0.097425" 
1, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379+0.110781" 
1, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399+0.137891" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310+0.059724" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327+0.058517" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379+0.081437" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399+0.127398" 
1, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310+0.000000" 
1, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327+0.000292" 
1, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379+0.045738" 
1, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399+0.046861" 
1, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310+0.000000" 
1, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327+0.000226" 
1, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379+0.035428" 
1, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399+0.036298" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268-0.860898" 
2, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709-0.379303" 
2, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908-0.633619" 
2, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008-0.683842" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268-0.794647" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709-0.365404" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908-0.599630" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008-0.673835" 
2, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268-0.000000" 
2, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709-0.022062" 
2, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908-0.113036" 
2, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008-0.101264" 
2, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268-0.000000" 
2, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709-0.017089" 
2, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908-0.087557" 
2, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008-0.078438" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268+0.860898" 
2, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709+0.379303" 
2, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908+0.633619" 
2, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008+0.683842" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268+0.794647" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709+0.365404" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908+0.599630" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008+0.673835" 
2, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268+0.000000" 
2, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709+0.022062" 
2, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908+0.113036" 
2, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008+0.101264" 
2, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268+0.000000" 
2, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709+0.017089" 
2, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908+0.087557" 
2, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008+0.078438" 
