;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.020659" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782-0.024595" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.020659" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.985782+0.024595" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.030971" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682-0.028671" 
1, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.030971" 
1, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.025682+0.028671" 
2, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.069656" 
2, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417-0.270906" 
2, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.069656" 
2, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.286417+0.270906" 
