;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.030489" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.012740" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.003801" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.013035" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.012473" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.001385" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.000000" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.014064" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124-0.000527" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.030489" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.012740" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.003801" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.013035" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.015079" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.001385" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.000000" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.014064" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.971124+0.000527" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.035521" 
1, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.019403" 
1, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.009321" 
1, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.014858" 
1, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.006401" 
1, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.000281" 
1, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.000000" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.016886" 
1, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545-0.000437" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.035521" 
1, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.019403" 
1, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.009321" 
1, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.014858" 
1, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.015850" 
1, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.000281" 
1, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.000000" 
1, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.016886" 
1, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.962545+0.000437" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.113798" 
2, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.038645" 
2, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.032133" 
2, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.015823" 
2, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.101776" 
2, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.007423" 
2, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.000000" 
2, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.074231" 
2, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534-0.002126" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.113798" 
2, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.038645" 
2, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.032133" 
2, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.015823" 
2, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.000004" 
2, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.007423" 
2, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.000000" 
2, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.074231" 
2, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "1.160534+0.002126" 
