;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709" 
0, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863" 
0, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731" 
0, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.033105" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.057867" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.047036" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.051752" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.008352" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.015718" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.015360" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.010386" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.010230" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.010905" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.019909" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.000390" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.007604" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.023110" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.014221" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.001089" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.013107" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.030043" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.011398" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.014888" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.003671" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.000339" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.001818" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.003881" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.000000" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.000000" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.000000" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.000000" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.022080" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.023853" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.031894" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.048037" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.000272" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.000934" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.000584" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.000113" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.033105" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.057867" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.047036" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.051752" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.008352" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.015718" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.015360" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.010386" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.010230" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.010905" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.019909" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.000390" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.007604" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.023110" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.014221" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.001089" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.013813" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.031242" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.015070" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.004981" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.003671" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.000339" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.001818" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.003881" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.000000" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.000000" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.000000" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.000000" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.022080" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.023853" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.031894" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.048037" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.000272" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.000934" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.000584" 
