;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956"" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.040004"" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.009315"" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.000447"" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.001535"" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.000578"" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.003962"" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.000000"" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.038664"" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956-0.000003"" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.040004"" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.009315"" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.000447"" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.001535"" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.000094"" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.003962"" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.000000"" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.038664"" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, ""0.978956+0.000003"" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 1000, -1, 1, ""1.12118"" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 1000, -1, 1, ""1.12118-0.098913"" 
1, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, ""1.12118-0.003756"" 
1, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, ""1.12118-0.008653"" 
1, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, ""1.12118-0.004472"" 
