cmva;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.872867" 
0, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.828873" 
0, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.871185" 
0, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.832726" 
0, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.855392" 
0, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.856522" 
0, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "0.916862" 
0, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.874591" 
0, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.913091" 
0, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.890339" 
0, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.889226" 
1, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.746911" 
1, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.651791" 
1, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.738114" 
1, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.658567" 
1, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.720213" 
1, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.713232" 
1, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "0.842031" 
1, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.755911" 
1, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.835686" 
1, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.773952" 
1, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.780727" 
2, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.856797" 
2, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.551701" 
2, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.822217" 
2, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.589198" 
2, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.781037" 
2, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.727824" 
2, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "1.161893" 
2, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.891330" 
2, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "1.124359" 
2, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.933043" 
2, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.985764" 
