DeepCsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.981817" 
0, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.938022" 
0, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.981081" 
0, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.942935" 
0, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.963889" 
0, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.965001" 
0, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "1.025612" 
0, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.982552" 
0, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "1.020717" 
0, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.999719" 
0, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.998566" 
1, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.961891" 
1, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.874041" 
1, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.957059" 
1, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.882710" 
1, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.927073" 
1, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.923962" 
1, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "1.049741" 
1, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.966959" 
1, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "1.041028" 
1, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.996599" 
1, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.999224" 
2, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.802593" 
2, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.424279" 
2, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.760471" 
2, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.467117" 
2, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.691854" 
2, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.650317" 
2, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "1.180907" 
2, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.845619" 
2, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "1.138328" 
2, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.914344" 
2, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.955046" 
