CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96409"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93281"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99536"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95006"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97812"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95982"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94595"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95899"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9561"
0,TnPH,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97169"
0,TnPH,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96233"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9742"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95632"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95982"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95055"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9668"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96508"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97548"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95215"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98208"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97391"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95069"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92278"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97861"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93777"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96362"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94771"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93647"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95017"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94695"
0,TnPH,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95315"
0,TnPH,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95358"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95686"
0,TnPH,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9489"
0,TnPH,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94771"
0,TnPH,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94117"
0,TnPH,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95368"
0,TnPH,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9522"
0,TnPH,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92767"
