OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x)))" 
0, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.046835880726575851" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.01964239589869976" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.017251385375857353" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.019312798976898193" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.017205312848091125" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.011330969631671906" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.03065558522939682" 
0, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.030948523432016373" 
0, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.04027818888425827" 
0, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.023417940363287926" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.893105*((1.+(0.0295048*x))/(1.+(0.0256479*x))))-0.0098211979493498802" 
