OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(7.3729e-05*x)+0.926716" 
0, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(7.3729e-05*x)+(0.926716-0.032020315527915955)" 
0, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(7.3729e-05*x)+(0.926716-0.050069872289896011)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(7.3729e-05*x)+(0.926716-0.043061330914497375)" 
0, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(7.3729e-05*x)+(0.926716-0.048935730010271072)" 
0, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((7.3729e-05*x)+0.926716)+0.032020315527915955" 
0, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((7.3729e-05*x)+0.926716)+0.050069872289896011" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((7.3729e-05*x)+0.926716)+0.043061330914497375" 
0, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((7.3729e-05*x)+0.926716)+0.048935730010271072" 
1, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.000484535*x))+0.95393" 
1, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.000484535*x))+(0.95393-0.044634446501731873)" 
1, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.000484535*x))+(0.95393-0.064812853932380676)" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.000484535*x))+(0.95393-0.05699031800031662)" 
1, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.000484535*x))+(0.95393-0.066314339637756348)" 
1, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.000484535*x))+0.95393)+0.044634446501731873" 
1, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.000484535*x))+0.95393)+0.064812853932380676" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.000484535*x))+0.95393)+0.05699031800031662" 
1, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.000484535*x))+0.95393)+0.066314339637756348" 
2, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00352541*x))+1.3586" 
2, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00352541*x))+(1.3586-0.1655094176530838)" 
2, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00352541*x))+(1.3586-0.15088570117950439)" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00352541*x))+(1.3586-0.22254344820976257)" 
2, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00352541*x))+(1.3586-0.26070410013198853)" 
2, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00352541*x))+1.3586)+0.1655094176530838" 
2, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00352541*x))+1.3586)+0.15088570117950439" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00352541*x))+1.3586)+0.22254344820976257" 
2, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00352541*x))+1.3586)+0.26070410013198853" 
