OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00037096*x))+0.969152" 
0, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00037096*x))+(0.969152-0.041817426681518555)" 
0, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00037096*x))+(0.969152-0.061420891433954239)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00037096*x))+(0.969152-0.052916083484888077)" 
0, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00037096*x))+(0.969152-0.057901151478290558)" 
0, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00037096*x))+0.969152)+0.041817426681518555" 
0, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00037096*x))+0.969152)+0.061420891433954239" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00037096*x))+0.969152)+0.052916083484888077" 
0, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00037096*x))+0.969152)+0.057901151478290558" 
1, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00201388*x))+1.08765" 
1, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00201388*x))+(1.08765-0.076477296650409698)" 
1, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00201388*x))+(1.08765-0.088637024164199829)" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00201388*x))+(1.08765-0.10694433003664017)" 
1, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00201388*x))+(1.08765-0.1192503347992897)" 
1, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00201388*x))+1.08765)+0.076477296650409698" 
1, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00201388*x))+1.08765)+0.088637024164199829" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00201388*x))+1.08765)+0.10694433003664017" 
1, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00201388*x))+1.08765)+0.1192503347992897" 
2, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00933661*x))+1.83857" 
2, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00933661*x))+(1.83857-0.62865644693374634)" 
2, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00933661*x))+(1.83857-0.39921453595161438)" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00933661*x))+(1.83857-0.63098049163818359)" 
2, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00933661*x))+(1.83857-0.51837974786758423)" 
2, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00933661*x))+1.83857)+0.62865644693374634" 
2, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00933661*x))+1.83857)+0.39921453595161438" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00933661*x))+1.83857)+0.63098049163818359" 
2, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00933661*x))+1.83857)+0.51837974786758423" 
