OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.000204724*x))+0.989198" 
0, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.000204724*x))+(0.989198-0.066757559776306152)" 
0, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.000204724*x))+(0.989198-0.062347341328859329)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.000204724*x))+(0.989198-0.07869575172662735)" 
0, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.000204724*x))+(0.989198-0.099922485649585724)" 
0, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.000204724*x))+0.989198)+0.066757559776306152" 
0, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.000204724*x))+0.989198)+0.062347341328859329" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.000204724*x))+0.989198)+0.07869575172662735" 
0, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.000204724*x))+0.989198)+0.099922485649585724" 
1, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00145492*x))+1.12223" 
1, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00145492*x))+(1.12223-0.14240804314613342)" 
1, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00145492*x))+(1.12223-0.15085795521736145)" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00145492*x))+(1.12223-0.1825801283121109)" 
1, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00145492*x))+(1.12223-0.25371187925338745)" 
1, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00145492*x))+1.12223)+0.14240804314613342" 
1, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00145492*x))+1.12223)+0.15085795521736145" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00145492*x))+1.12223)+0.1825801283121109" 
1, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00145492*x))+1.12223)+0.25371187925338745" 
2, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00994365*x))+1.73138" 
2, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00994365*x))+(1.73138-0.80401456356048584)" 
2, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00994365*x))+(1.73138-0.87504094839096069)" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00994365*x))+(1.73138-0.93740552663803101)" 
2, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00994365*x))+(1.73138-0.98136162757873535)" 
2, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00994365*x))+1.73138)+0.80401456356048584" 
2, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00994365*x))+1.73138)+0.87504094839096069" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00994365*x))+1.73138)+0.93740552663803101" 
2, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00994365*x))+1.73138)+0.98136162757873535" 
