DEEPCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91047"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87843"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94251"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90014"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92081"
0,TnP,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90423"
0,TnP,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91671"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9007"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92024"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90107"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91987"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90362"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91733"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90555"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91539"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90468"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91627"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88625"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93469"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9006"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92034"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93676"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92139"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95212"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92753"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94598"
0,TnP,down_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9282"
0,TnP,up_met,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94532"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93378"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93973"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93458"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93893"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93438"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93913"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93199"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94152"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93219"
