DEEPCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8815"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84414"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91885"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86447"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89853"
0,TnPL,down_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87588"
0,TnPL,up_met,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88139"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90209"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87661"
0,TnPL,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89758"
0,TnPL,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87557"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86284"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87899"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87588"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8808"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88663"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88337"
0,TnPL,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90495"
0,TnPL,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88343"
0,TnPL,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86661"
0,TnPL,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89717"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94529"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91699"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97358"
