DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x)))" 
0, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.062140084803104401" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.02595093846321106" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.028591722249984741" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.025913992896676064" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.022013207897543907" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.016995251178741455" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.042381729930639267" 
0, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.044829394668340683" 
0, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.067876957356929779" 
0, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.02485603466629982" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.010380375199019909" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.011436688713729382" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.01036559697240591" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.0088052833452820778" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.0067981001920998096" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.016952691599726677" 
0, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.017931757494807243" 
0, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))-0.027150783687829971" 
0, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.062140084803104401" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.02595093846321106" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.028591722249984741" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.025913992896676064" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.022013207897543907" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.016995251178741455" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.042381729930639267" 
0, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.044829394668340683" 
0, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.067876957356929779" 
0, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.02485603466629982" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.010380375199019909" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.011436688713729382" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.01036559697240591" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.0088052833452820778" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.962811*((1.+(0.00432461*x))/(1.+(0.00391851*x))))+0.0067981001920998096" 
